e1	e2	rel	label	res	thres	pred	check	lp_tail	pos_tail	lp_head	pos_head
23041	67451	5	1	0.03846027	0.03207512944936752	0	10	2	1	43310	1844
14257	68833	3	1	0.5223864	0.5479034185409546	1	11	46	524	42	27644
29865	67534	6	1	0.5701765	0.5803723335266113	1	11	4	40	315	20052
38636	67574	3	1	0.5533306	0.5479034185409546	0	10	32	21	65801	54870
12548	67408	6	1	0.560282	0.5803723335266113	1	11	1	30	2124	59423
43602	69400	3	1	0.5666695	0.5479034185409546	0	10	140	33	45905	7175
20362	67532	6	1	0.5769719	0.5803723335266113	1	11	5	8	15908	30069
12860	67426	6	1	0.5683823	0.5803723335266113	1	11	1	30	19152	65556
16190	67497	0	1	1.0107366	1.0595937967300415	1	11	1	6	54719	75013
56126	67402	5	1	0.02802177	0.03207512944936752	1	11	1	1	51480	69119
48131	67449	3	1	0.52765566	0.5479034185409546	1	11	36	205	2172	36039
35026	67587	3	1	0.5506749	0.5479034185409546	0	10	20	14	65356	60281
13897	67727	3	1	0.51670027	0.5479034185409546	1	11	17	365	871	59092
65957	67409	3	1	0.5372618	0.5479034185409546	1	11	22	47	28214	53984
21553	67424	6	1	0.57820934	0.5803723335266113	1	11	1	5	60032	64908
61494	67408	6	1	0.5704876	0.5803723335266113	1	11	1	5	27890	59423
32783	67400	3	1	0.5217331	0.5479034185409546	1	11	12	119	7524	68012
22835	67409	3	1	0.5354685	0.5479034185409546	1	11	22	49	24313	53984
46341	67402	5	1	0.025582017	0.03207512944936752	1	11	1	1	32995	69119
18428	67434	6	1	0.5722369	0.5803723335266113	1	11	2	21	14990	50996
42119	67583	3	1	0.5114789	0.5479034185409546	1	11	3	103	9648	74111
34363	67633	3	1	0.5177278	0.5479034185409546	1	11	13	138	4823	70034
20740	67424	6	1	0.5600352	0.5803723335266113	1	11	1	16	1733	64908
11296	67550	3	1	0.5217666	0.5479034185409546	1	11	17	159	3273	54838
37964	67829	1	1	1.0211885	1.0484164953231812	1	11	6	12	64031	74849
53365	67464	3	1	0.50236666	0.5479034185409546	1	11	2	109	5771	74816
36875	67742	1	1	1.0499092	1.0484164953231812	0	10	23	21	42157	37705
8775	67889	1	1	0.9786413	1.0484164953231812	1	11	7	142	1179	74865
6072	67408	6	1	0.5685735	0.5803723335266113	1	11	2	51	21486	59423
2040	67753	12	1	1.2328893	1.3196568489074707	1	11	1	53	1366	75000
35192	67430	3	1	0.52077866	0.5479034185409546	1	11	4	40	7975	68716
