e1	e2	rel	label	res	thres	pred	check	lp_tail	pos_tail	lp_head	pos_head
3	1	0	1	8.746688	2.229562282562256	0	10	14458	115	14459	55
3	78	0	1	-5.1011496	2.229562282562256	1	11	5	115	4	120
11733	12045	0	1	2.2179425	2.229562282562256	1	11	113	114	100	100
6	40	0	1	-2.4507313	2.229562282562256	1	11	20	121	8	125
6	11969	1	1	-2.473628	0.5451360940933228	1	11	3	90	22	96
6	11948	1	1	-2.6710718	0.5451360940933228	1	11	2	90	27	98
7	11969	1	1	-2.8031673	0.5451360940933228	1	11	3	91	13	96
10	11965	3	1	-2.6638923	2.56864595413208	1	11	2	113	203	374
11	11950	1	1	-0.80824995	0.5451360940933228	1	11	3	7	84	99
20	11966	3	1	-0.22857493	2.56864595413208	1	11	14	155	274	373
25	14094	1	1	0.5351279	0.5451360940933228	1	11	134	134	7	8
25	12034	1	1	-3.0519314	0.5451360940933228	1	11	52	134	1	39
25	13934	1	1	-1.0675128	0.5451360940933228	1	11	117	134	1	11
25	10973	1	1	3.878625	0.5451360940933228	0	10	1038	134	191	0
25	42	0	1	-3.379439	2.229562282562256	1	11	33	113	3	122
25	13943	1	1	-0.97591275	0.5451360940933228	1	11	119	134	1	10
25	11010	1	1	-2.806513	0.5451360940933228	1	11	58	134	2	38
25	13932	1	1	-0.7093711	0.5451360940933228	1	11	123	134	1	9
39	10975	1	1	-0.034000874	0.5451360940933228	1	11	125	134	4	7
39	10995	1	1	4.6600175	0.5451360940933228	0	10	6210	134	2690	0
11734	5	0	1	-0.4157628	2.229562282562256	1	11	4	93	84	125
11735	11969	1	1	-0.6138119	0.5451360940933228	1	11	3	13	63	96
44	11946	1	1	-0.4204824	0.5451360940933228	1	11	47	90	25	46
50	25	0	1	-2.286023	2.229562282562256	1	11	3	119	36	113
59	12029	1	1	4.9566846	0.5451360940933228	0	10	14047	2	11007	69
59	11969	1	1	5.8065553	0.5451360940933228	0	10	14425	2	13903	96
60	11964	1	1	-2.7721944	0.5451360940933228	1	11	12	134	11	84
61	11976	1	1	-1.3113241	0.5451360940933228	1	11	2	36	31	73
62	11967	1	1	-0.92408	0.5451360940933228	1	11	3	22	28	66
64	38	0	1	-2.6635952	2.229562282562256	1	11	74	114	3	129
64	66	0	1	-6.1586285	2.229562282562256	1	11	6	114	2	118
64	11947	1	1	-3.9757702	0.5451360940933228	1	11	12	131	2	53
64	12055	0	1	-2.600243	2.229562282562256	1	11	75	114	2	104
64	7	0	1	-4.905539	2.229562282562256	1	11	17	114	2	122
64	36	0	1	6.506465	2.229562282562256	0	10	14072	114	14437	50
64	40	0	1	-4.4928503	2.229562282562256	1	11	26	114	2	125
64	25	0	1	-6.200847	2.229562282562256	1	11	5	114	3	113
64	13	0	1	-4.503027	2.229562282562256	1	11	25	114	2	122
64	23	0	1	-2.9014869	2.229562282562256	1	11	70	114	2	130
64	12050	0	1	-2.0107937	2.229562282562256	1	11	86	114	2	94
64	12017	0	1	-2.9265344	2.229562282562256	1	11	69	114	2	124
64	11948	1	1	-4.931035	0.5451360940933228	1	11	1	131	5	98
64	11010	1	1	-2.5866556	0.5451360940933228	1	11	38	131	4	38
66	58	0	1	-3.016117	2.229562282562256	1	11	71	116	1	157
66	8784	0	1	-5.861505	2.229562282562256	1	11	9	116	1	118
66	11969	1	1	-4.301697	0.5451360940933228	1	11	4	130	5	96
73	12760	3	1	-3.8730035	2.56864595413208	1	11	16	297	2	301
73	11966	3	1	-2.8076596	2.56864595413208	1	11	54	297	178	373
73	12763	3	1	-2.5907288	2.56864595413208	1	11	63	297	3	98
73	12771	3	1	-2.4417882	2.56864595413208	1	11	66	297	2	94
73	12762	3	1	-3.229123	2.56864595413208	1	11	43	297	4	383
73	12757	3	1	-3.8431802	2.56864595413208	1	11	17	297	2	152
73	12751	3	1	-5.8054085	2.56864595413208	1	11	2	297	2	219
73	12030	3	1	-4.770792	2.56864595413208	1	11	6	297	2	327
78	6	0	1	-3.86311	2.229562282562256	1	11	12	118	6	122
78	11952	1	1	-0.89004517	0.5451360940933228	1	11	45	108	11	43
78	19	0	1	-3.3263836	2.229562282562256	1	11	16	118	6	118
78	66	0	1	-5.061923	2.229562282562256	1	11	3	118	6	118
78	40	0	1	-3.1033082	2.229562282562256	1	11	23	118	6	125
82	11965	3	1	-2.5812125	2.56864595413208	1	11	2	104	219	374
84	11965	3	1	-2.5554757	2.56864595413208	1	11	2	99	224	374
89	12103	10	1	-0.55340385	2.178083896636963	1	11	3	57	96	384
89	14072	10	1	-2.042925	2.178083896636963	1	11	2	57	11	469
99	4826	7	1	-2.6974804	2.323333978652954	1	11	1	155	1	102
11736	7569	7	1	-2.3886738	2.323333978652954	1	11	1	122	1	179
11737	7306	13	1	1.247345	1.4826706647872925	1	11	2	2	3	4
115	3146	11	1	0.9859541	2.5253589153289795	1	11	37	327	57	404
11738	13212	6	1	4.005113	1.2570831775665283	0	10	540	11	4441	39
130	13961	6	1	1.2508337	1.2570831775665283	1	11	53	53	32	32
148	11062	21	1	-3.849431	1.490060567855835	1	11	1	62	101	274
151	12119	25	1	0.16874862	3.2005529403686523	1	11	2	292	95	684
153	11069	21	1	-2.3498535	1.490060567855835	1	11	95	261	3	31
153	147	21	1	-3.316792	1.490060567855835	1	11	43	261	3	51
153	280	21	1	-4.1912007	1.490060567855835	1	11	12	261	3	129
153	193	21	1	-2.0861044	1.490060567855835	1	11	108	261	3	23
153	177	21	1	-1.6082976	1.490060567855835	1	11	135	261	3	32
153	271	21	1	-4.257209	1.490060567855835	1	11	11	261	3	124
153	277	21	1	-4.2836504	1.490060567855835	1	11	10	261	4	195
154	12119	25	1	-4.0398083	3.2005529403686523	1	11	1	385	20	684
158	11062	21	1	-5.4819627	1.490060567855835	1	11	1	69	20	274
160	12139	22	1	-3.2095459	3.195857286453247	1	11	7	139	15	485
160	12181	22	1	-4.953842	3.195857286453247	1	11	2	139	5	626
163	11058	21	1	-3.01198	1.490060567855835	1	11	6	71	32	250
166	146	32	1	-3.0359273	1.9049458503723145	1	11	5	290	9	205
166	11068	32	1	-3.2431493	1.9049458503723145	1	11	4	290	10	156
166	12170	32	1	-2.429922	1.9049458503723145	1	11	12	290	4	83
167	12115	22	1	-2.4828134	3.195857286453247	1	11	1	167	88	577
170	11062	21	1	-4.917413	1.490060567855835	1	11	1	174	45	274
182	12123	24	1	-2.6472652	4.127388954162598	1	11	1	2640	28	1501
183	12183	25	1	2.6938598	3.2005529403686523	1	11	76	192	351	619
184	10419	35	1	-1.8449278	2.9221677780151367	1	11	33	894	3	436
185	681	36	1	-3.6600752	1.5274120569229126	1	11	3	104	9	105
190	6582	27	1	-4.709398	2.613032341003418	1	11	1	527	3	469
194	11062	21	1	-2.7440796	1.490060567855835	1	11	1	181	173	274
196	5544	23	1	3.04775	3.3831653594970703	1	11	508	1056	108	168
196	153	21	1	-2.7544057	1.490060567855835	1	11	3	84	66	262
196	11058	21	1	-2.7247922	1.490060567855835	1	11	5	84	39	250
198	12121	22	1	-3.3649106	3.195857286453247	1	11	2	151	48	485
203	10449	35	1	-2.3747516	2.9221677780151367	1	11	38	438	1	454
203	10387	35	1	-2.2827625	2.9221677780151367	1	11	40	438	1	334
203	5327	30	1	-2.1155758	3.0535762310028076	1	11	88	452	1	426
203	10455	35	1	-2.6608896	2.9221677780151367	1	11	29	438	1	409
203	5351	30	1	-2.9672942	3.0535762310028076	1	11	52	452	1	378
203	5299	30	1	-3.7837234	3.0535762310028076	1	11	16	452	1	411
203	5394	30	1	-3.5968268	3.0535762310028076	1	11	23	452	1	309
203	10459	35	1	0.6099441	2.9221677780151367	1	11	71	438	13	410
203	6067	37	1	-2.763053	2.9018285274505615	1	11	23	394	2	604
203	12171	38	1	-2.1715355	3.7168185710906982	1	11	12	1372	7	666
203	5307	30	1	-3.2064128	3.0535762310028076	1	11	40	452	1	400
203	10384	35	1	-2.758522	2.9221677780151367	1	11	27	438	1	393
203	5248	30	1	-1.2947137	3.0535762310028076	1	11	116	452	1	247
203	5335	30	1	-3.0534856	3.0535762310028076	1	11	49	452	1	384
203	5379	30	1	-2.763187	3.0535762310028076	1	11	62	452	1	376
203	10421	35	1	-2.4560776	2.9221677780151367	1	11	35	438	1	392
203	13361	38	1	-1.3829759	3.7168185710906982	1	11	17	1372	4	992
206	2241	27	1	-1.1584746	2.613032341003418	1	11	11	413	10	412
210	3065	23	1	-2.6783595	3.3831653594970703	1	11	14	326	1	1135
210	3064	23	1	-2.1441545	3.3831653594970703	1	11	20	326	2	10355
213	12115	22	1	-2.922502	3.195857286453247	1	11	1	120	72	577
215	6584	29	1	-3.19096	-0.12560197710990906	1	11	1	7	38	75
215	6677	28	1	-3.8266335	3.1954760551452637	1	11	6	375	8	426
216	2159	32	1	-1.0737035	1.9049458503723145	1	11	35	331	50	295
217	12193	32	1	-2.755651	1.9049458503723145	1	11	21	317	2	83
217	12222	25	1	0.378303	3.2005529403686523	1	11	19	250	71	518
217	12192	32	1	-1.9206653	1.9049458503723145	1	11	38	317	3	66
221	11062	21	1	-5.516676	1.490060567855835	1	11	1	93	19	274
221	12594	38	1	-1.9212536	3.7168185710906982	1	11	7	9092	7	799
228	11058	21	1	-2.17027	1.490060567855835	1	11	5	52	49	250
228	11070	21	1	0.13307327	1.490060567855835	1	11	20	52	68	148
231	260	28	1	-3.7397408	3.1954760551452637	1	11	4	415	11	370
231	6673	28	1	-2.550414	3.1954760551452637	1	11	16	415	9	363
231	215	40	1	-3.49814	1.405377984046936	1	11	8	251	4	182
231	11079	33	1	-1.9310207	1.1271016597747803	1	11	11	259	7	101
240	3297	5	1	-0.61527157	2.8307435512542725	1	11	7	250	4	252
249	11062	21	1	-5.5386643	1.490060567855835	1	11	1	71	17	274
252	153	21	1	-2.7228088	1.490060567855835	1	11	4	93	69	262
252	11050	21	1	-2.0105507	1.490060567855835	1	11	7	93	44	232
253	11062	21	1	-3.3245788	1.490060567855835	1	11	1	37	125	274
255	12115	22	1	-2.6496253	3.195857286453247	1	11	1	174	82	577
255	11062	21	1	-0.5676061	1.490060567855835	1	11	1	38	226	274
260	6633	28	1	-4.0905285	3.1954760551452637	1	11	16	384	1	413
260	6598	28	1	-4.673774	3.1954760551452637	1	11	5	384	3	392
260	11048	33	1	-2.9250033	1.1271016597747803	1	11	1	275	10	170
260	550	40	1	-4.500009	1.405377984046936	1	11	2	199	4	268
260	6584	29	1	-1.7161105	-0.12560197710990906	1	11	1	7	53	75
261	5802	21	1	-3.0090723	1.490060567855835	1	11	2	32	95	261
11739	11062	21	1	-3.2728589	1.490060567855835	1	11	1	27	128	274
