e1	e2	rel	label	res	thres	pred	check	lp_tail	pos_tail	lp_head	pos_head
3	1	0	1	0.070063055	0.07008427381515503	1	11	133	133	20	20
3	78	0	1	0.06266727	0.07008427381515503	1	11	104	133	3	6
11733	12045	0	1	0.0661609	0.07008427381515503	1	11	17	32	2384	4714
6	40	0	1	0.05470027	0.07008427381515503	1	11	31	61	26	1198
6	11969	1	1	0.021212323	0.05444332957267761	1	11	2	541	17	230
6	11948	1	1	0.018503528	0.05444332957267761	1	11	1	541	18	425
7	11969	1	1	0.024852393	0.05444332957267761	1	11	3	290	29	230
10	11965	3	1	0.048625488	0.11289338767528534	1	11	2	723	131	4093
11	11950	1	1	0.022380207	0.05444332957267761	1	11	2	1205	21	933
20	11966	3	1	0.060623094	0.11289338767528534	1	11	1	604	240	4999
25	14094	1	1	0.037336808	0.05444332957267761	1	11	132	383	6	59
25	12034	1	1	0.015057318	0.05444332957267761	1	11	18	383	1	159
25	13934	1	1	0.03852351	0.05444332957267761	1	11	138	383	19	349
25	10973	1	1	0.054394245	0.05444332957267761	1	11	382	383	19	19
25	42	0	1	0.059113387	0.07008427381515503	1	11	63	97	11	66
25	13943	1	1	0.03620319	0.05444332957267761	1	11	127	383	6	122
25	11010	1	1	0.021659408	0.05444332957267761	1	11	56	383	5	771
25	13932	1	1	0.036258098	0.05444332957267761	1	11	128	383	17	558
39	10975	1	1	0.043943424	0.05444332957267761	1	11	153	556	13	48
39	10995	1	1	0.06916888	0.05444332957267761	0	10	6558	556	66	0
11734	5	0	1	0.120973684	0.07008427381515503	0	10	2598	20	4894	4
11735	11969	1	1	0.036397077	0.05444332957267761	1	11	4	152	92	230
44	11946	1	1	0.04285712	0.05444332957267761	1	11	83	157	59	185
50	25	0	1	0.13644812	0.07008427381515503	0	10	7980	24	387	2
59	12029	1	1	0.062247995	0.05444332957267761	0	10	5066	1638	1465	270
59	11969	1	1	0.051251814	0.05444332957267761	1	11	708	1638	134	230
60	11964	1	1	0.016856447	0.05444332957267761	1	11	2	1094	6	508
61	11976	1	1	0.030398361	0.05444332957267761	1	11	2	145	15	403
62	11967	1	1	0.040219422	0.05444332957267761	1	11	8	124	39	152
64	38	0	1	0.050271705	0.07008427381515503	1	11	69	109	2	29
64	66	0	1	0.06373177	0.07008427381515503	1	11	99	109	1	2
64	11947	1	1	0.016341621	0.05444332957267761	1	11	9	314	4	148
64	12055	0	1	0.045323394	0.07008427381515503	1	11	49	109	10	2494
64	7	0	1	0.048448358	0.07008427381515503	1	11	59	109	2	28
64	36	0	1	0.055448577	0.07008427381515503	1	11	80	109	4	155
64	40	0	1	0.036401354	0.07008427381515503	1	11	11	109	3	1198
64	25	0	1	0.05414936	0.07008427381515503	1	11	78	109	1	2
64	13	0	1	0.03584847	0.07008427381515503	1	11	9	109	3	1544
64	23	0	1	0.056518618	0.07008427381515503	1	11	83	109	4	20
64	12050	0	1	0.050212145	0.07008427381515503	1	11	68	109	8	1157
64	12017	0	1	0.071841575	0.07008427381515503	0	10	113	109	2037	1412
64	11948	1	1	0.016689587	0.05444332957267761	1	11	12	314	13	425
64	11010	1	1	0.023037298	0.05444332957267761	1	11	45	314	7	771
66	58	0	1	0.046426468	0.07008427381515503	1	11	72	189	2	527
66	8784	0	1	0.04628456	0.07008427381515503	1	11	71	189	1	17
66	11969	1	1	0.012273526	0.05444332957267761	1	11	4	4031	2	230
73	12760	3	1	0.069405824	0.11289338767528534	1	11	15	1297	2	878
73	11966	3	1	0.04901028	0.11289338767528534	1	11	1	1297	145	4999
73	12763	3	1	0.08086763	0.11289338767528534	1	11	40	1297	2	365
73	12771	3	1	0.09064949	0.11289338767528534	1	11	78	1297	2	38
73	12762	3	1	0.06881257	0.11289338767528534	1	11	14	1297	2	985
73	12757	3	1	0.082507	0.11289338767528534	1	11	47	1297	2	171
73	12751	3	1	0.06572273	0.11289338767528534	1	11	6	1297	2	1384
73	12030	3	1	0.076506145	0.11289338767528534	1	11	22	1297	2	429
78	6	0	1	0.055585474	0.07008427381515503	1	11	63	113	6	27
78	11952	1	1	0.018925304	0.05444332957267761	1	11	38	3384	4	106
78	19	0	1	0.060341273	0.07008427381515503	1	11	77	113	6	14
78	66	0	1	0.085504055	0.07008427381515503	0	10	497	113	6	2
78	40	0	1	0.039431125	0.07008427381515503	1	11	26	113	5	1198
82	11965	3	1	0.050952107	0.11289338767528534	1	11	2	249	160	4093
84	11965	3	1	0.05444167	0.11289338767528534	1	11	2	313	210	4093
89	12103	10	1	0.035643335	0.021283060312271118	0	10	480	2	634	242
89	14072	10	1	0.013048768	0.021283060312271118	1	11	2	2	62	334
99	4826	7	1	0.12623052	0.12797026336193085	1	11	8246	9085	12606	12972
11736	7569	7	1	0.12346211	0.12797026336193085	1	11	10433	12002	11332	12552
11737	7306	13	1	0.015971225	0.01862873136997223	1	11	1	1	1	1
115	3146	11	1	0.06622881	0.07103931158781052	1	11	222	504	13	50
11738	13212	6	1	0.0326243	0.03263237327337265	1	11	5	5	3198	3205
130	13961	6	1	0.042362336	0.03263237327337265	0	10	3650	251	218	16
148	11062	21	1	0.09215235	0.09945353120565414	1	11	264	1031	152	182
151	12119	25	1	0.037766565	0.055706363171339035	1	11	2	22	58	315
153	11069	21	1	0.09370357	0.09945353120565414	1	11	349	1113	101	172
153	147	21	1	0.08039021	0.09945353120565414	1	11	173	1113	74	307
153	280	21	1	0.06904579	0.09945353120565414	1	11	85	1113	83	3586
153	193	21	1	0.07763627	0.09945353120565414	1	11	156	1113	102	1906
153	177	21	1	0.096093826	0.09945353120565414	1	11	578	1113	199	319
153	271	21	1	0.06584914	0.09945353120565414	1	11	58	1113	43	1946
153	277	21	1	0.070315845	0.09945353120565414	1	11	92	1113	82	2453
154	12119	25	1	0.041124307	0.055706363171339035	1	11	2	16	74	315
158	11062	21	1	0.08868746	0.09945353120565414	1	11	183	507	125	182
160	12139	22	1	0.018214053	0.03847281634807587	1	11	17	24	73	309
160	12181	22	1	0.014975642	0.03847281634807587	1	11	5	24	29	304
163	11058	21	1	0.048772432	0.09945353120565414	1	11	6	5614	20	8384
166	146	32	1	0.032307975	0.058518242090940475	1	11	16	1441	18	385
166	11068	32	1	0.044634763	0.058518242090940475	1	11	42	1441	32	112
166	12170	32	1	0.02272662	0.058518242090940475	1	11	4	1441	5	741
167	12115	22	1	0.014750983	0.03847281634807587	1	11	4	27	75	292
170	11062	21	1	0.089946374	0.09945353120565414	1	11	193	670	134	182
182	12123	24	1	0.01309991	0.03750203549861908	1	11	1	228	45	940
183	12183	25	1	0.03889133	0.055706363171339035	1	11	4	57	70	622
184	10419	35	1	0.042947907	0.05079122260212898	1	11	232	1160	7	37
185	681	36	1	0.05055935	0.07442208379507065	1	11	24	655	13	683
190	6582	27	1	0.028887196	0.07126396149396896	1	11	3	4432	2	298
194	11062	21	1	0.08376431	0.09945353120565414	1	11	1337	10014	80	182
196	5544	23	1	0.07801118	0.05631457641720772	0	10	1895	21	1166	6
196	153	21	1	0.11408745	0.09945353120565414	0	10	410	63	4382	463
196	11058	21	1	0.08151551	0.09945353120565414	1	11	6	63	570	8384
198	12121	22	1	0.0114943255	0.03847281634807587	1	11	1	25	62	323
203	10449	35	1	0.029101485	0.05079122260212898	1	11	21	223	1	80
203	10387	35	1	0.03158985	0.05079122260212898	1	11	28	223	1	17
203	5327	30	1	0.025445672	0.038383495062589645	1	11	71	149	1	17
203	10455	35	1	0.025505375	0.05079122260212898	1	11	13	223	1	38
203	5351	30	1	0.02199676	0.038383495062589645	1	11	33	149	1	13
203	5299	30	1	0.023317967	0.038383495062589645	1	11	48	149	6	41
203	5394	30	1	0.036542863	0.038383495062589645	1	11	139	149	2	2
203	10459	35	1	0.03853157	0.05079122260212898	1	11	49	223	1	24
203	6067	37	1	0.029080419	0.045429032295942307	1	11	56	142	42	344
203	12171	38	1	0.026744613	0.03927525132894516	1	11	15	62	104	890
203	5307	30	1	0.019988788	0.038383495062589645	1	11	15	149	3	44
203	10384	35	1	0.028869396	0.05079122260212898	1	11	19	223	7	230
203	5248	30	1	0.026885943	0.038383495062589645	1	11	84	149	6	24
203	5335	30	1	0.021512156	0.038383495062589645	1	11	25	149	3	36
203	5379	30	1	0.023226542	0.038383495062589645	1	11	45	149	5	57
203	10421	35	1	0.02415418	0.05079122260212898	1	11	11	223	2	265
203	13361	38	1	0.036808178	0.03927525132894516	1	11	45	62	133	194
206	2241	27	1	0.042923804	0.07126396149396896	1	11	18	2223	12	955
210	3065	23	1	0.027102094	0.05631457641720772	1	11	22	556	1	202
210	3064	23	1	0.023609743	0.05631457641720772	1	11	12	556	1	273
213	12115	22	1	0.01420219	0.03847281634807587	1	11	2	26	63	292
215	6584	29	1	0.082673855	0.08662062138319016	1	11	124	178	168	283
215	6677	28	1	0.09299023	0.11802911758422852	1	11	13	84	314	7519
216	2159	32	1	0.058470562	0.058518242090940475	1	11	863	872	57	57
217	12193	32	1	0.024920784	0.058518242090940475	1	11	10	519	7	783
217	12222	25	1	0.045353528	0.055706363171339035	1	11	11	31	98	560
217	12192	32	1	0.033921108	0.058518242090940475	1	11	21	519	4	61
221	11062	21	1	0.08450431	0.09945353120565414	1	11	206	1344	85	182
221	12594	38	1	0.018892819	0.03927525132894516	1	11	7	249	26	549
228	11058	21	1	0.062380258	0.09945353120565414	1	11	14	797	111	8384
228	11070	21	1	0.08991436	0.09945353120565414	1	11	219	797	145	286
231	260	28	1	0.13584517	0.11802911758422852	0	10	190	37	223	82
231	6673	28	1	0.11668402	0.11802911758422852	1	11	36	37	483	575
231	215	40	1	0.07445097	0.11252361536026001	1	11	2	308	2	203
231	11079	33	1	0.03757327	0.04954224452376366	1	11	34	200	17	107
240	3297	5	1	0.09990306	0.10936423391103745	1	11	292	2072	341	945
249	11062	21	1	0.08841566	0.09945353120565414	1	11	179	618	120	182
252	153	21	1	0.0684235	0.09945353120565414	1	11	106	3786	24	463
252	11050	21	1	0.060092915	0.09945353120565414	1	11	27	3786	49	4868
253	11062	21	1	0.12038609	0.09945353120565414	0	10	2154	86	277	182
255	12115	22	1	0.035948187	0.03847281634807587	1	11	2	5	256	292
255	11062	21	1	0.12313774	0.09945353120565414	0	10	12899	2210	333	182
260	6633	28	1	0.07897695	0.11802911758422852	1	11	9	186	57	2623
260	6598	28	1	0.0935375	0.11802911758422852	1	11	34	186	65	705
260	11048	33	1	0.030522345	0.04954224452376366	1	11	4	48	11	88
260	550	40	1	0.10944932	0.11252361536026001	1	11	51	59	288	457
260	6584	29	1	0.082707256	0.08662062138319016	1	11	218	264	169	283
261	5802	21	1	0.07729623	0.09945353120565414	1	11	117	1051	126	370
11739	11062	21	1	0.121262796	0.09945353120565414	0	10	1185	75	292	182
263	11043	21	1	0.08398953	0.09945353120565414	1	11	31	200	505	6564
265	158	32	1	0.03597833	0.058518242090940475	1	11	54	245	1	74
11740	11062	21	1	0.09928948	0.09945353120565414	1	11	6240	6348	181	182
268	479	27	1	0.04200579	0.07126396149396896	1	11	14	1235	11	1066
11741	6699	32	1	0.073457554	0.058518242090940475	0	10	123	2	1722	71
272	11062	21	1	0.08874908	0.09945353120565414	1	11	215	1260	127	182
273	2154	26	1	0.038894605	0.05981089547276497	1	11	2	161	58	366
273	12116	23	1	0.034463212	0.05631457641720772	1	11	5	227	57	778
277	12122	22	1	0.015403813	0.03847281634807587	1	11	6	25	65	291
277	11050	21	1	0.06484336	0.09945353120565414	1	11	33	1486	89	4868
277	5802	21	1	0.07166099	0.09945353120565414	1	11	83	1486	74	370
279	11062	21	1	0.08736154	0.09945353120565414	1	11	207	1467	107	182
281	11042	32	1	0.037985507	0.058518242090940475	1	11	2	218	28	222
284	5401	30	1	0.019053338	0.038383495062589645	1	11	15	273	3	41
284	5270	30	1	0.02985967	0.038383495062589645	1	11	144	273	6	11
289	163	21	1	0.072541915	0.09945353120565414	1	11	113	1344	50	952
289	5802	21	1	0.0700606	0.09945353120565414	1	11	83	1344	65	370
289	11062	21	1	0.08004658	0.09945353120565414	1	11	174	1344	46	182
291	11062	21	1	0.083615474	0.09945353120565414	1	11	191	1555	77	182
291	12115	22	1	0.012846839	0.03847281634807587	1	11	4	37	41	292
293	10455	35	1	0.029920416	0.05079122260212898	1	11	23	1319	3	38
293	10442	35	1	0.050706334	0.05079122260212898	1	11	1303	1319	13	13
293	10362	35	1	0.049513992	0.05079122260212898	1	11	1071	1319	3	3
293	6034	37	1	0.021238932	0.045429032295942307	1	11	30	466	9	259
293	11062	21	1	0.118313015	0.09945353120565414	0	10	1652	96	249	182
293	5326	30	1	0.021372188	0.038383495062589645	1	11	36	313	1	31
293	10350	35	1	0.045483712	0.05079122260212898	1	11	500	1319	2	5
293	6046	37	1	0.01804155	0.045429032295942307	1	11	10	466	4	269
299	12127	22	1	0.026389627	0.03847281634807587	1	11	16	18	127	261
300	11357	26	1	0.04755496	0.05981089547276497	1	11	17	95	41	109
300	10345	35	1	0.12467547	0.05079122260212898	0	10	14435	384	494	1
302	11062	21	1	0.09628116	0.09945353120565414	1	11	475	907	176	182
11570	11062	21	1	0.12315739	0.09945353120565414	0	10	3196	86	334	182
303	12222	25	1	0.043143496	0.055706363171339035	1	11	9	44	73	560
305	6085	37	1	0.03326352	0.045429032295942307	1	11	3	146	116	1044
307	5537	23	1	0.033804964	0.05631457641720772	1	11	5	100	17	816
307	11062	21	1	0.1129837	0.09945353120565414	0	10	1411	211	208	182
307	13349	25	1	0.063470066	0.055706363171339035	0	10	39	11	1169	177
308	12115	22	1	0.0103768	0.03847281634807587	1	11	4	55	8	292
309	3106	43	1	0.032886688	0.04390032961964607	1	11	1	54	1	2
316	3525	43	1	0.03197517	0.04390032961964607	1	11	1	2	1	2
322	3219	42	1	0.029195946	0.029197536408901215	1	11	58	58	73	73
333	3923	42	1	0.00803847	0.029197536408901215	1	11	1	65	2	121
334	3304	43	1	0.030281477	0.04390032961964607	1	11	1	4	1	9
336	4145	43	1	0.037374422	0.04390032961964607	1	11	1	2	1	2
337	3315	42	1	0.012922598	0.029197536408901215	1	11	1	93	1	7
340	3384	42	1	0.011048753	0.029197536408901215	1	11	1	30	1	34
343	3178	43	1	0.030943856	0.04390032961964607	1	11	1	7	2	43
345	3415	42	1	0.015232861	0.029197536408901215	1	11	1	22	1	30
366	3546	43	1	0.026939357	0.04390032961964607	1	11	1	32	1	4
367	3157	42	1	0.008045982	0.029197536408901215	1	11	1	32	1	223
370	4063	43	1	0.028888164	0.04390032961964607	1	11	1	2	1	41
371	3593	43	1	0.031115407	0.04390032961964607	1	11	1	11	1	33
381	4004	43	1	0.0278931	0.04390032961964607	1	11	1	6	1	12
384	12207	42	1	0.012005449	0.029197536408901215	1	11	1	2	1	21
386	4097	43	1	0.02360878	0.04390032961964607	1	11	1	169	1	14
394	3230	43	1	0.04128711	0.04390032961964607	1	11	5	7	5	8
397	3721	43	1	0.03231008	0.04390032961964607	1	11	1	5	2	6
398	11505	42	1	0.01207051	0.029197536408901215	1	11	1	6	2	15
412	12214	43	1	0.023413712	0.04390032961964607	1	11	1	8	1	32
419	11793	43	1	0.01941025	0.04390032961964607	1	11	1	60	1	199
429	3984	43	1	0.022817712	0.04390032961964607	1	11	1	47	1	55
430	4000	43	1	0.02537683	0.04390032961964607	1	11	1	15	1	16
432	4193	43	1	0.024831194	0.04390032961964607	1	11	2	80	2	24
433	3967	42	1	0.015418568	0.029197536408901215	1	11	1	5	1	8
438	4040	43	1	0.028537402	0.04390032961964607	1	11	1	6	2	19
440	4061	42	1	0.011585433	0.029197536408901215	1	11	1	12	2	88
443	11505	42	1	0.011099185	0.029197536408901215	1	11	1	9	1	15
446	3721	43	1	0.032268103	0.04390032961964607	1	11	1	3	1	6
447	3558	43	1	0.043834317	0.04390032961964607	1	11	2	2	9	9
447	3558	42	1	0.02749403	0.029197536408901215	1	11	1	1	8	9
465	537	40	1	0.09752492	0.11252361536026001	1	11	62	953	94	743
465	12287	41	1	0.04191616	0.07442374527454376	1	11	28	343	2	78
466	6677	40	1	0.11031114	0.11252361536026001	1	11	164	233	273	388
466	559	28	1	0.07581759	0.11802911758422852	1	11	72	13681	3	936
466	6651	40	1	0.10682477	0.11252361536026001	1	11	94	233	128	168
468	12340	39	1	0.041257285	0.07860813289880753	1	11	12	1471	1	297
468	13850	39	1	0.072815135	0.07860813289880753	1	11	707	1471	105	185
471	6052	48	1	0.060073532	0.060221098363399506	1	11	10	10	702	716
479	12232	41	1	0.07107511	0.07442374527454376	1	11	16	26	125	164
480	677	40	1	0.12899895	0.11252361536026001	0	10	8	1	9501	1917
480	6094	47	1	0.0579705	0.07382522523403168	1	11	7	45	64	289
480	671	47	1	0.070385955	0.07382522523403168	1	11	30	45	3185	5489
480	12308	39	1	0.060343646	0.07860813289880753	1	11	10	88	22	196
480	6040	47	1	0.07220519	0.07382522523403168	1	11	39	45	875	1180
480	6096	47	1	0.071191974	0.07382522523403168	1	11	33	45	351	585
482	2125	39	1	0.054147467	0.07860813289880753	1	11	9	531	2	165
482	12304	41	1	0.04643806	0.07442374527454376	1	11	36	551	8	128
